rl_epoch_num : 2
mode : train
data : ./data/OD/dialogues.json
beam_size : 10
batch_size : 32
cuda : False
pretrain : False
vocab_size : 800
sampling : False
beam_search : False
z_length : 8
spv_proportion : 100
teacher_force : 100
m : TSD
result_path : ./results/od.csv
vocab_path : ./vocab/vocab-od.pkl
truncated : False
early_stop_count : 3
prev_z_method : separate
skip_unsup : False
eos_m_token : EOS_M
seed : 0
hidden_size : 50
model_path : ./models/od.pkl
unfrz_attn_epoch : 0
lr : 0.003
embedding_size : 50
split : (3, 1, 1)
entity : ./data/OD/entities.json
max_ts : 40
new_vocab : True
db : ./data/OD/DB.json
dropout_rate : 0.5
layer_num : 1
glove_path : ./data/glove/glove.6B.50d.txt
beam_len_bonus : 0.5
epoch_num : 100
degree_size : 5
lr_decay : 0.5
cuda_device : 0
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
4446,0,what do you have on europe,europe EOS_Z1,europe EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3699,0,how about association ?,association EOS_Z1,association EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4171,0,is there something on weed,weed EOS_Z1,weed EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4518,0,what do you have on trade,trade EOS_Z1,trade EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3900,0,data concerning velvet,velvet EOS_Z1,velvet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3678,0,how about major ?,major EOS_Z1,major EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4134,0,is there something on association,association EOS_Z1,association EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4399,0,i am interested in datasets related to discipline,discipline EOS_Z1,discipline EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3890,0,data concerning likely,likely EOS_Z1,likely EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4560,0,what do you have on reference,reference EOS_Z1,reference EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4489,0,what do you have on ladder,ladder EOS_Z1,ladder EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4008,0,im interested in datasets related to soft,soft EOS_Z1,soft EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4368,0,i am interested in datasets related to nose,nose EOS_Z1,nose EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3728,0,how about ex ?,ex EOS_Z1,ex EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4494,0,what do you have on hospitality,hospitality EOS_Z1,hospitality EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3991,0,im interested in datasets related to concert,concert EOS_Z1,concert EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3723,0,how about science ?,science EOS_Z1,science EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4133,0,is there something on visible,visible EOS_Z1,visible EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3724,0,how about snatch ?,snatch EOS_Z1,snatch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3840,0,data concerning association,association EOS_Z1,association EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4360,0,i am interested in datasets related to doll,doll EOS_Z1,doll EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4200,0,is there something on recommend,recommend EOS_Z1,recommend EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4421,0,i am interested in datasets related to trait,trait EOS_Z1,trait EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4504,0,what do you have on whole,whole EOS_Z1,whole EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4576,0,what do you have on forestry,forestry EOS_Z1,forestry EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3854,0,data concerning belt,belt EOS_Z1,belt EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3826,0,data concerning pluck,pluck EOS_Z1,pluck EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4344,0,i am interested in datasets related to solve,solve EOS_Z1,solve EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3804,0,how about overlook ?,overlook EOS_Z1,overlook EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4141,0,is there something on flood,flood EOS_Z1,flood EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4436,0,i am interested in datasets related to velvet,velvet EOS_Z1,velvet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3960,0,data concerning railroad,railroad EOS_Z1,railroad EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3910,0,data concerning bathtub,bathtub EOS_Z1,bathtub EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3993,0,im interested in datasets related to budge,budge EOS_Z1,budge EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4201,0,is there something on presidential,presidential EOS_Z1,presidential EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4199,0,is there something on deserve,deserve EOS_Z1,deserve EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4179,0,is there something on ghostwriter,ghostwriter EOS_Z1,ghostwriter EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3965,0,data concerning tree,tree EOS_Z1,tree EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4555,0,what do you have on temptation,temptation EOS_Z1,temptation EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3913,0,data concerning enemy,enemy EOS_Z1,enemy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3922,0,data concerning trade,trade EOS_Z1,trade EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3685,0,how about club ?,club EOS_Z1,club EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3867,0,data concerning glance,glance EOS_Z1,glance EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3970,0,data concerning leader,leader EOS_Z1,leader EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4586,0,what do you have on knee,knee EOS_Z1,knee EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4538,0,what do you have on monarch,monarch EOS_Z1,monarch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4259,0,is there something on doll,doll EOS_Z1,doll EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3877,0,data concerning assignment,assignment EOS_Z1,assignment EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4092,0,im interested in datasets related to trade,trade EOS_Z1,trade EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3714,0,how about enemy ?,enemy EOS_Z1,enemy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3863,0,data concerning lazy,lazy EOS_Z1,lazy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3883,0,data concerning economist,economist EOS_Z1,economist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3727,0,how about blackmail ?,blackmail EOS_Z1,blackmail EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4093,0,im interested in datasets related to pluck,pluck EOS_Z1,pluck EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3802,0,how about forestry ?,forestry EOS_Z1,forestry EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4328,0,i am interested in datasets related to lick,lick EOS_Z1,lick EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4235,0,is there something on arena,arena EOS_Z1,arena EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4429,0,i am interested in datasets related to positive,positive EOS_Z1,positive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3683,0,how about beer ?,beer EOS_Z1,beer EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4345,0,i am interested in datasets related to assertive,assertive EOS_Z1,assertive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3917,0,data concerning dogs,dogs EOS_Z1,dogs EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3937,0,data concerning drive,drive EOS_Z1,drive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4349,0,i am interested in datasets related to strategic,strategic EOS_Z1,strategic EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3997,0,im interested in datasets related to ambition,ambition EOS_Z1,ambition EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4479,0,what do you have on joke,joke EOS_Z1,joke EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4165,0,is there something on major,major EOS_Z1,major EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4077,0,im interested in datasets related to ladder,ladder EOS_Z1,ladder EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4040,0,im interested in datasets related to offspring,offspring EOS_Z1,offspring EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4321,0,i am interested in datasets related to resident,resident EOS_Z1,resident EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3827,0,data concerning motorist,motorist EOS_Z1,motorist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4315,0,i am interested in datasets related to tie,tie EOS_Z1,tie EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4006,0,im interested in datasets related to fall,fall EOS_Z1,fall EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3978,0,im interested in datasets related to distinct,distinct EOS_Z1,distinct EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4282,0,is there something on essential,essential EOS_Z1,essential EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4078,0,im interested in datasets related to cemetery,cemetery EOS_Z1,cemetery EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3968,0,data concerning jet,jet EOS_Z1,jet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4482,0,what do you have on economist,economist EOS_Z1,economist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4526,0,what do you have on recommend,recommend EOS_Z1,recommend EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4363,0,i am interested in datasets related to expectation,expectation EOS_Z1,expectation EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4119,0,im interested in datasets related to damn,damn EOS_Z1,damn EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4367,0,i am interested in datasets related to overlook,overlook EOS_Z1,overlook EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4204,0,is there something on reference,reference EOS_Z1,reference EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4341,0,i am interested in datasets related to man,man EOS_Z1,man EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3682,0,how about urgency ?,urgency EOS_Z1,urgency EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3855,0,data concerning way,way EOS_Z1,way EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4336,0,i am interested in datasets related to ex,ex EOS_Z1,ex EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3906,0,data concerning referee,referee EOS_Z1,referee EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3704,0,how about entitlement ?,entitlement EOS_Z1,entitlement EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4290,0,i am interested in datasets related to knee,knee EOS_Z1,knee EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3853,0,data concerning kit,kit EOS_Z1,kit EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3773,0,how about dash ?,dash EOS_Z1,dash EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4466,0,what do you have on presidential,presidential EOS_Z1,presidential EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3742,0,how about twilight ?,twilight EOS_Z1,twilight EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4181,0,is there something on breeze,breeze EOS_Z1,breeze EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3859,0,data concerning tourist,tourist EOS_Z1,tourist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3831,0,data concerning plaintiff,plaintiff EOS_Z1,plaintiff EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4018,0,im interested in datasets related to right,right EOS_Z1,right EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4311,0,i am interested in datasets related to academy,academy EOS_Z1,academy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3696,0,how about break ?,break EOS_Z1,break EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4057,0,im interested in datasets related to suite,suite EOS_Z1,suite EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3908,0,data concerning residence,residence EOS_Z1,residence EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4011,0,im interested in datasets related to collection,collection EOS_Z1,collection EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3904,0,data concerning concert,concert EOS_Z1,concert EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4370,0,i am interested in datasets related to north,north EOS_Z1,north EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3739,0,how about damn ?,damn EOS_Z1,damn EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3989,0,im interested in datasets related to core,core EOS_Z1,core EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3735,0,how about inflate ?,inflate EOS_Z1,inflate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4219,0,is there something on whole,whole EOS_Z1,whole EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3703,0,how about sweet ?,sweet EOS_Z1,sweet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3796,0,how about lazy ?,lazy EOS_Z1,lazy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4309,0,i am interested in datasets related to association,association EOS_Z1,association EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3822,0,how about conviction ?,conviction EOS_Z1,conviction EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4013,0,im interested in datasets related to recommend,recommend EOS_Z1,recommend EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3801,0,how about essential ?,essential EOS_Z1,essential EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4575,0,what do you have on pound,pound EOS_Z1,pound EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4140,0,is there something on north,north EOS_Z1,north EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3691,0,how about positive ?,positive EOS_Z1,positive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3921,0,data concerning hour,hour EOS_Z1,hour EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4215,0,is there something on glance,glance EOS_Z1,glance EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4139,0,is there something on escape,escape EOS_Z1,escape EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4015,0,im interested in datasets related to assignment,assignment EOS_Z1,assignment EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4577,0,what do you have on wien,wien EOS_Z1,wien EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4149,0,is there something on manner,manner EOS_Z1,manner EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4438,0,what do you have on beer,beer EOS_Z1,beer EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4074,0,im interested in datasets related to shareholder,shareholder EOS_Z1,shareholder EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4108,0,im interested in datasets related to forestry,forestry EOS_Z1,forestry EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4305,0,i am interested in datasets related to dash,dash EOS_Z1,dash EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3748,0,how about tie ?,tie EOS_Z1,tie EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4267,0,is there something on damn,damn EOS_Z1,damn EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4497,0,what do you have on lick,lick EOS_Z1,lick EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4316,0,i am interested in datasets related to deserve,deserve EOS_Z1,deserve EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4401,0,i am interested in datasets related to diamond,diamond EOS_Z1,diamond EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3982,0,im interested in datasets related to live,live EOS_Z1,live EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4375,0,i am interested in datasets related to manner,manner EOS_Z1,manner EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3775,0,how about rebel ?,rebel EOS_Z1,rebel EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4579,0,what do you have on heavy,heavy EOS_Z1,heavy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3843,0,data concerning tie,tie EOS_Z1,tie EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4012,0,im interested in datasets related to kit,kit EOS_Z1,kit EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3738,0,how about live ?,live EOS_Z1,live EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4398,0,i am interested in datasets related to visible,visible EOS_Z1,visible EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3750,0,how about temptation ?,temptation EOS_Z1,temptation EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3776,0,how about recommend ?,recommend EOS_Z1,recommend EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3810,0,how about cause ?,cause EOS_Z1,cause EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4246,0,is there something on likely,likely EOS_Z1,likely EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3692,0,how about refuse ?,refuse EOS_Z1,refuse EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3814,0,how about likely ?,likely EOS_Z1,likely EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4512,0,what do you have on ghostwriter,ghostwriter EOS_Z1,ghostwriter EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3755,0,how about unfortunate ?,unfortunate EOS_Z1,unfortunate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4483,0,what do you have on relate,relate EOS_Z1,relate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4153,0,is there something on topple,topple EOS_Z1,topple EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3845,0,data concerning relate,relate EOS_Z1,relate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4280,0,is there something on dash,dash EOS_Z1,dash EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4563,0,what do you have on enemy,enemy EOS_Z1,enemy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3716,0,how about motorist ?,motorist EOS_Z1,motorist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4495,0,what do you have on cause,cause EOS_Z1,cause EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4566,0,what do you have on flood,flood EOS_Z1,flood EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3673,0,how about belt ?,belt EOS_Z1,belt EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3731,0,how about reform ?,reform EOS_Z1,reform EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4440,0,what do you have on damn,damn EOS_Z1,damn EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3973,0,data concerning basic,basic EOS_Z1,basic EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
3679,0,how about epicalyx ?,epicalyx EOS_Z1,epicalyx EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4049,0,im interested in datasets related to sweet,sweet EOS_Z1,sweet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3765,0,how about discriminate ?,discriminate EOS_Z1,discriminate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3715,0,how about lick ?,lick EOS_Z1,lick EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3713,0,how about nose ?,nose EOS_Z1,nose EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4506,0,what do you have on ex,ex EOS_Z1,ex EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4448,0,what do you have on launch,launch EOS_Z1,launch EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4058,0,im interested in datasets related to discriminate,discriminate EOS_Z1,discriminate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3882,0,data concerning soft,soft EOS_Z1,soft EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4233,0,is there something on epicalyx,epicalyx EOS_Z1,epicalyx EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4097,0,im interested in datasets related to parameter,parameter EOS_Z1,parameter EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
3708,0,how about velvet ?,velvet EOS_Z1,velvet EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3809,0,how about displace ?,displace EOS_Z1,displace EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3770,0,how about breeze ?,breeze EOS_Z1,breeze EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4116,0,im interested in datasets related to attractive,attractive EOS_Z1,attractive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4143,0,is there something on lazy,lazy EOS_Z1,lazy EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3889,0,data concerning collection,collection EOS_Z1,collection EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4501,0,what do you have on blackmail,blackmail EOS_Z1,blackmail EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4324,0,i am interested in datasets related to wien,wien EOS_Z1,wien EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4281,0,is there something on nose,nose EOS_Z1,nose EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4249,0,is there something on neglect,neglect EOS_Z1,neglect EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4157,0,is there something on economist,economist EOS_Z1,economist EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4258,0,is there something on right,right EOS_Z1,right EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3924,0,data concerning solve,solve EOS_Z1,solve EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4270,0,is there something on collection,collection EOS_Z1,collection EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
